ID,TYPE,PHYSICAL_RES,ENERGY_RES,RADIATION_RES,LOCATIONS_COVERED,WEIGHT,COST,RARITY,AVAILABLE_MODS,EFFECTS
armorRaiderChest,raiderArmor,1,1,0,"[""torso""]",3.5,18,0,"[""modArmorHardened"", ""modAnnealed"", ""modWelded"", ""modTempered"", ""modLightweight"", ""modPocketed"", ""modDeepPocketed"", ""modLeaded"", ""modUltralight"", ""modDensity"", ""modBioCommMesh"", ""modCushioned"", ""modPneumatic"", ""modAsbestosLining""]",
armorRaiderLeg,raiderArmor,1,1,0,"[""leg""]",1.5,8,0,"[""modArmorHardened"", ""modAnnealed"", ""modWelded"", ""modTempered"", ""modLightweight"", ""modPocketed"", ""modDeepPocketed"", ""modLeaded"", ""modUltralight"", ""modShockAbsorbing"", ""modMuffled""]",
armorRaiderArm,raiderArmor,1,1,0,"[""arm""]",1.5,6,0,"[""modArmorHardened"", ""modAnnealed"", ""modWelded"", ""modTempered"", ""modLightweight"", ""modPocketed"", ""modDeepPocketed"", ""modLeaded"", ""modUltralight"", ""modStreamlined"", ""modBalanced"", ""modCrafted"", ""modBrawling"", ""modStabilized""]",
armorRaiderSturdyChest,raiderArmor,2,2,0,"[""torso""]",6,33,1,"[""modArmorHardened"", ""modAnnealed"", ""modWelded"", ""modTempered"", ""modLightweight"", ""modPocketed"", ""modDeepPocketed"", ""modLeaded"", ""modUltralight"", ""modDensity"", ""modBioCommMesh"", ""modCushioned"", ""modPneumatic"", ""modAsbestosLining""]",
armorRaiderSturdyLeg,raiderArmor,2,2,0,"[""leg""]",3.5,13,1,"[""modArmorHardened"", ""modAnnealed"", ""modWelded"", ""modTempered"", ""modLightweight"", ""modPocketed"", ""modDeepPocketed"", ""modLeaded"", ""modUltralight"", ""modShockAbsorbing"", ""modMuffled""]",
armorRaiderSturdyArm,raiderArmor,2,2,0,"[""arm""]",3.5,8,1,"[""modArmorHardened"", ""modAnnealed"", ""modWelded"", ""modTempered"", ""modLightweight"", ""modPocketed"", ""modDeepPocketed"", ""modLeaded"", ""modUltralight"", ""modStreamlined"", ""modBalanced"", ""modCrafted"", ""modBrawling"", ""modStabilized""]",
armorRaiderHeavyChest,raiderArmor,3,3,0,"[""torso""]",8.5,48,2,"[""modArmorHardened"", ""modAnnealed"", ""modWelded"", ""modTempered"", ""modLightweight"", ""modPocketed"", ""modDeepPocketed"", ""modLeaded"", ""modUltralight"", ""modDensity"", ""modBioCommMesh"", ""modCushioned"", ""modPneumatic"", ""modAsbestosLining""]",
armorRaiderHeavyLeg,raiderArmor,3,3,0,"[""leg""]",5,18,2,"[""modArmorHardened"", ""modAnnealed"", ""modWelded"", ""modTempered"", ""modLightweight"", ""modPocketed"", ""modDeepPocketed"", ""modLeaded"", ""modUltralight"", ""modShockAbsorbing"", ""modMuffled""]",
armorRaiderHeavyArm,raiderArmor,3,3,0,"[""arm""]",5,15,2,"[""modArmorHardened"", ""modAnnealed"", ""modWelded"", ""modTempered"", ""modLightweight"", ""modPocketed"", ""modDeepPocketed"", ""modLeaded"", ""modUltralight"", ""modStreamlined"", ""modBalanced"", ""modCrafted"", ""modBrawling"", ""modStabilized""]",
armorLeatherChest,leatherArmor,1,2,0,"[""torso""]",2.5,25,1,"[""modBoiledLeather"", ""modStuddedLeather"", ""modBandedLeather"", ""modShadowedLeather"", ""modTreatedLeather"", ""modLightweight"", ""modPocketed"", ""modDeepPocketed"", ""modLeaded"", ""modUltralight"", ""modDensity"", ""modBioCommMesh"", ""modCushioned"", ""modPneumatic"", ""modAsbestosLining""]",
